Date,state,Death,type,,,,,,,
1/9/2012,Borno,3,Boko Haram,,,,,,,
1/11/2012,Borno,0,Boko Haram,,,,,,,
1/16/2012,Borno,2,Boko Haram,,,,,,,
1/17/2012,Borno,6,Boko Haram,,,,,,,
1/22/2012,Borno,1,Boko Haram,,,,,,,
1/30/2012,Borno,5,Boko Haram,,,,,,,
2/2/2012,Borno,6,Boko Haram,,,,,,,
2/3/2012,Borno,2,Boko Haram,,,,,,,
2/5/2012,Borno,2,Boko Haram,,,,,,,
2/6/2012,Borno,3,Boko Haram,,,,,,,
2/10/2012,Borno,6,Boko Haram,,,,,,,
2/11/2012,Borno,3,Boko Haram,,,,,,,
2/11/2012,Borno,7,Boko Haram,,,,,,,
2/12/2012,Borno,24,Boko Haram,,,,,,,
2/15/2012,Borno,1,Boko Haram,,,,,,,
2/19/2012,Borno,2,Boko Haram,,,,,,,
2/20/2012,Borno,30,Boko Haram,,,,,,,
2/21/2012,Borno,0,Boko Haram,,,,,,,
2/22/2012,Borno,0,Boko Haram,,,,,,,
2/28/2012,Borno,1,Boko Haram,,,,,,,
2/28/2012,Borno,0,Boko Haram,,,,,,,
2/29/2012,Borno,0,Boko Haram,,,,,,,
3/1/2012,Borno,0,Boko Haram,,,,,,,
3/2/2012,Borno,3,Boko Haram,,,,,,,
3/3/2012,Borno,3,Boko Haram,,,,,,,
3/4/2012,Borno,1,Boko Haram,,,,,,,
3/6/2012,Borno,4,Boko Haram,,,,,,,
3/9/2012,Borno,1,Boko Haram,,,,,,,
3/9/2012,Borno,1,Boko Haram,,,,,,,
3/10/2012,Borno,1,Boko Haram,,,,,,,
3/12/2012,Borno,1,Boko Haram,,,,,,,
3/15/2012,Borno,2,Boko Haram,,,,,,,
3/22/2012,Borno,3,Boko Haram,,,,,,,
3/25/2012,Borno,3,Boko Haram,,,,,,,
3/27/2012,Borno,2,Boko Haram,,,,,,,
3/28/2012,Borno,1,Boko Haram,,,,,,,
3/30/2012,Borno,4,Boko Haram,,,,,,,
4/1/2012,Borno,1,Boko Haram,,,,,,,
4/2/2012,Borno,1,Boko Haram,,,,,,,
4/4/2012,Borno,12,Boko Haram,,,,,,,
4/9/2012,Borno,6,Boko Haram,,,,,,,
4/10/2012,Borno,10,Boko Haram,,,,,,,
4/12/2012,Borno,2,Boko Haram,,,,,,,
4/14/2012,Borno,0,Boko Haram,,,,,,,
4/16/2012,Borno,2,Boko Haram,,,,,,,
4/17/2012,Borno,1,Boko Haram,,,,,,,
4/18/2012,Borno,2,Boko Haram,,,,,,,
4/19/2012,Borno,5,Boko Haram,,,,,,,
4/26/2012,Borno,1,Boko Haram,,,,,,,
4/27/2012,Borno,1,Boko Haram,,,,,,,
4/29/2012,Borno,5,Boko Haram,,,,,,,
5/4/2012,Borno,2,Boko Haram,,,,,,,
5/12/2012,Borno,2,Boko Haram,,,,,,,
5/21/2012,Borno,1,Boko Haram,,,,,,,
5/22/2012,Borno,4,Boko Haram,,,,,,,
5/22/2012,Borno,1,Boko Haram,,,,,,,
5/30/2012,Borno,12,Boko Haram,,,,,,,
6/1/2012,Borno,3,Boko Haram,,,,,,,
6/1/2012,Borno,2,Boko Haram,,,,,,,
6/6/2012,Borno,66,Boko Haram,,,,,,,
6/8/2012,Borno,8,Boko Haram,,,,,,,
6/10/2012,Borno,2,Boko Haram,,,,,,,
6/13/2012,Borno,2,Boko Haram,,,,,,,
7/2/2012,Borno,14,Boko Haram,,,,,,,
7/4/2012,Borno,1,Boko Haram,,,,,,,
7/13/2012,Borno,10,Boko Haram,,,,,,,
7/19/2012,Borno,2,Boko Haram,,,,,,,
7/23/2012,Borno,5,Boko Haram,,,,,,,
7/25/2012,Borno,4,Boko Haram,,,,,,,
7/25/2012,Borno,2,Boko Haram,,,,,,,
8/4/2012,Borno,5,Boko Haram,,,,,,,
8/5/2012,Borno,1,Boko Haram,,,,,,,
8/5/2012,Borno,1,Boko Haram,,,,,,,
8/8/2012,Borno,1,Boko Haram,,,,,,,
8/9/2012,Borno,0,Boko Haram,,,,,,,
8/9/2012,Borno,1,Boko Haram,,,,,,,
8/12/2012,Borno,21,Boko Haram,,,,,,,
8/15/2012,Borno,4,Boko Haram,,,,,,,
8/16/2012,Borno,1,Boko Haram,,,,,,,
8/28/2012,Borno,2,Boko Haram,,,,,,,
9/4/2012,Borno,2,Boko Haram,,,,,,,
9/5/2012,Borno,4,Boko Haram,,,,,,,
9/16/2012,Borno,10,Boko Haram,,,,,,,
9/17/2012,Borno,1,Boko Haram,,,,,,,
9/30/2012,Borno,5,Boko Haram,,,,,,,
10/3/2012,Borno,3,Boko Haram,,,,,,,
10/5/2012,Borno,1,Boko Haram,,,,,,,
10/6/2012,Borno,3,Boko Haram,,,,,,,
10/8/2012,Borno,7,Boko Haram,,,,,,,
10/13/2012,Borno,0,Boko Haram,,,,,,,
10/14/2012,Borno,0,Boko Haram,,,,,,,
10/14/2012,Borno,3,Boko Haram,,,,,,,
10/14/2012,Borno,1,Boko Haram,,,,,,,
10/15/2012,Borno,1,Boko Haram,,,,,,,
10/15/2012,Borno,10,Boko Haram,,,,,,,
10/19/2012,Borno,1,Boko Haram,,,,,,,
10/19/2012,Borno,2,Boko Haram,,,,,,,
10/19/2012,Borno,13,Boko Haram,,,,,,,
10/30/2012,Borno,0,Boko Haram,,,,,,,
10/31/2012,Borno,3,Boko Haram,,,,,,,
11/2/2012,Borno,2,Boko Haram,,,,,,,
11/3/2012,Borno,5,Boko Haram,,,,,,,
11/6/2012,Borno,2,Boko Haram,,,,,,,
11/7/2012,Borno,0,Boko Haram,,,,,,,
